fileName,object,answer
006/woodenspoon36.jpg,dinner knife,wooden spoon
011/pan31.jpg,dinner knife,pan
011/pan31.jpg,dinner knife,pan
011/pan31.jpg,dinner knife,pan
011/pan1.jpg,dinner knife,pan
011/pan1.jpg,dinner knife,pan
011/pan36.jpg,dinner knife,pan
011/pan36.jpg,dinner knife,pan
011/pan36.jpg,dinner knife,pan
011/pan36.jpg,dinner knife,pan
011/pan11.jpg,dinner knife,pan
011/pan11.jpg,dinner knife,pan
011/pan17.jpg,dinner knife,pan
011/pan17.jpg,dinner knife,pan
010/whisk13.jpg,dinner knife,whisk
010/whisk13.jpg,dinner knife,whisk
010/whisk13.jpg,dinner knife,whisk
010/whisk13.jpg,dinner knife,whisk
010/whisk14.jpg,dinner knife,whisk
010/whisk14.jpg,dinner knife,whisk
010/whisk14.jpg,dinner knife,whisk
010/whisk14.jpg,dinner knife,whisk
010/whisk25.jpg,dinner knife,whisk
010/whisk25.jpg,dinner knife,whisk
010/whisk25.jpg,dinner knife,whisk
010/whisk35.jpg,dinner knife,whisk
010/whisk43.jpg,spatula,whisk
003/bottleopener9.jpg,dinner knife,bottleopener
003/bottleopener9.jpg,dinner knife,bottleopener
003/bottleopener9.jpg,dinner knife,bottleopener
003/bottleopener30.jpg,dinner knife,bottleopener
003/bottleopener30.jpg,dinner knife,bottleopener
003/bottleopener14.jpg,dinner knife,bottleopener
003/bottleopener14.jpg,dinner knife,bottleopener
003/bottleopener14.jpg,dinner knife,bottleopener
003/bottleopener13.jpg,dinner knife,bottleopener
003/bottleopener13.jpg,dinner knife,bottleopener
003/bottleopener11.jpg,dinner knife,bottleopener
003/bottleopener11.jpg,dinner knife,bottleopener
003/bottleopener11.jpg,dinner knife,bottleopener
003/bottleopener11.jpg,dinner knife,bottleopener
004/tongs10.jpg,dinner knife,tongs
004/tongs10.jpg,dinner knife,tongs
004/tongs5.jpg,dinner knife,tongs
004/tongs5.jpg,dinner knife,tongs
004/tongs23.jpg,dinner knife,tongs
004/tongs23.jpg,dinner knife,tongs
004/tongs23.jpg,dinner knife,tongs
004/tongs23.jpg,dinner knife,tongs
004/tongs23.jpg,dinner knife,tongs
004/tongs25.jpg,dinner knife,tongs
004/tongs25.jpg,dinner knife,tongs
004/tongs25.jpg,dinner knife,tongs
004/tongs25.jpg,dinner knife,tongs
004/tongs26.jpg,dinner knife,tongs
004/tongs26.jpg,dinner knife,tongs
004/tongs26.jpg,dinner knife,tongs
004/tongs26.jpg,dinner knife,tongs
005/dinnerfork29.jpg,dinner knife,fork
005/dinnerfork29.jpg,dinner knife,fork
005/dinnerfork53.jpg,dinner knife,fork
005/dinnerfork53.jpg,dinner knife,fork
005/dinnerfork53.jpg,dinner knife,fork
005/dinnerfork42.jpg,dinner knife,fork
005/dinnerfork32.jpg,dinner knife,fork
005/dinnerfork32.jpg,dinner knife,fork
005/dinnerfork20.jpg,dinner knife,fork
005/dinnerfork20.jpg,dinner knife,fork
002/dinnerknife16.jpg,dinner knife,dinner knife
002/dinnerknife16.jpg,dinner knife,dinner knife
002/dinnerknife19.jpg,dinner knife,dinner knife
002/dinnerknife19.jpg,dinner knife,dinner knife
002/dinnerknife5.jpg,dinner knife,dinner knife
002/dinnerknife5.jpg,dinner knife,dinner knife
002/dinnerknife5.jpg,dinner knife,dinner knife
002/dinnerknife21.jpg,dinner knife,dinner knife
002/dinnerknife21.jpg,dinner knife,dinner knife
002/dinnerknife43.jpg,dinner knife,dinner knife
002/dinnerknife43.jpg,dinner knife,dinner knife
002/dinnerknife43.jpg,dinner knife,dinner knife
002/dinnerknife43.jpg,dinner knife,dinner knife
002/dinnerknife43.jpg,dinner knife,dinner knife
